Label (Grouping),Florida!!Total!!Estimate,Florida!!Total!!Margin of Error,Florida!!Moved; within same county!!Estimate,Florida!!Moved; within same county!!Margin of Error,"Florida!!Moved; from different county, same state!!Estimate","Florida!!Moved; from different county, same state!!Margin of Error",Florida!!Moved; from different  state!!Estimate,Florida!!Moved; from different  state!!Margin of Error,Florida!!Moved; from abroad!!Estimate,Florida!!Moved; from abroad!!Margin of Error
Population 1 year and over,"18,863,948","±8,536",10.00%,±0.3,3.00%,±0.1,2.60%,±0.1,0.90%,±0.1
AGE,,,,,,,,,,
    1 to 4 years,"880,730","±9,199",15.60%,±0.9,3.60%,±0.5,3.10%,±0.6,0.70%,±0.2
    5 to 17 years,"2,920,626","±5,253",11.80%,±0.6,2.10%,±0.2,2.10%,±0.2,0.80%,±0.1
    18 to 24 years,"1,795,011","±8,185",16.50%,±0.7,7.30%,±0.5,4.10%,±0.4,1.40%,±0.3
    25 to 34 years,"2,328,282","±9,895",16.20%,±0.6,5.00%,±0.4,3.80%,±0.3,1.50%,±0.2
    35 to 44 years,"2,408,924","±6,707",11.60%,±0.6,3.00%,±0.3,2.60%,±0.3,1.00%,±0.2
    45 to 54 years,"2,739,211","±7,050",7.60%,±0.4,2.20%,±0.2,2.00%,±0.2,0.70%,±0.1
    55 to 64 years,"2,431,769","±4,715",5.20%,±0.3,2.00%,±0.2,2.40%,±0.2,0.70%,±0.1
    65 to 74 years,"1,777,707","±5,122",3.50%,±0.3,1.20%,±0.2,2.40%,±0.3,0.80%,±0.1
    75 years and over,"1,581,688","±3,438",3.80%,±0.3,1.20%,±0.2,1.80%,±0.2,0.50%,±0.1
Median age (years),41.4,±0.2,28.8,±0.4,28.9,±0.7,34.4,±1.4,33.4,±1.5
SEX,,,,,,,,,,
    Male,"9,225,419","±8,983",10.10%,±0.3,3.20%,±0.1,2.80%,±0.1,0.90%,±0.1
    Female,"9,638,529","±8,942",10.00%,±0.3,2.80%,±0.1,2.50%,±0.1,0.90%,±0.1
RACE AND HISPANIC OR LATINO ORIGIN,,,,,,,,,,
    One race,"18,455,801","±21,009",10.00%,±0.3,2.90%,±0.1,2.60%,±0.1,0.90%,±0.1
        White,"14,407,337","±31,782",9.10%,±0.3,2.70%,±0.1,2.70%,±0.1,0.80%,±0.1
        Black or African American,"3,009,585","±20,800",13.70%,±0.7,3.70%,±0.3,2.10%,±0.3,0.70%,±0.1
        American Indian and Alaska Native,"63,134","±6,296",10.40%,±3.0,5.20%,±2.3,4.30%,±2.3,1.00%,±1.2
        Asian,"458,022","±8,429",7.10%,±0.9,2.30%,±0.5,3.10%,±0.6,3.70%,±0.9
        Native Hawaiian and Other Pacific Islander,"12,545","±3,380",3.90%,±4.3,2.20%,±1.9,10.40%,±9.3,0.00%,±1.9
        Some other race,"505,178","±27,216",14.70%,±2.2,4.40%,±1.0,3.00%,±0.9,2.00%,±0.6
    Two or more races,"408,147","±19,405",12.40%,±1.7,4.30%,±0.8,4.10%,±0.8,1.70%,±0.7
Hispanic or Latino origin (of any race),"4,297,339","±5,156",11.50%,±0.6,2.60%,±0.2,1.70%,±0.2,1.70%,±0.2
"White alone, not Hispanic or Latino","10,845,644","±6,987",8.50%,±0.3,2.90%,±0.2,3.10%,±0.1,0.50%,±0.1
NATIVITY AND CITIZENSHIP STATUS,,,,,,,,,,
    Native,"15,162,554","±39,867",10.10%,±0.3,3.20%,±0.1,2.90%,±0.1,0.40%,±0.1
    Foreign born,"3,701,394","±38,358",10.00%,±0.5,2.00%,±0.2,1.50%,±0.2,3.00%,±0.3
        Naturalized U.S. citizen,"1,839,680","±26,993",6.70%,±0.5,1.60%,±0.3,1.40%,±0.2,0.50%,±0.1
        Not a U.S. citizen,"1,861,714","±35,963",13.20%,±0.8,2.30%,±0.3,1.50%,±0.2,5.50%,±0.5
MARITAL STATUS,,,,,,,,,,
    Population 15 years and over,"15,770,265","±5,407",9.40%,±0.2,3.00%,±0.1,2.70%,±0.1,0.90%,±0.1
    Never married,"4,899,961","±34,106",13.50%,±0.4,5.00%,±0.2,3.20%,±0.2,1.10%,±0.1
"    Now married, except separated","7,286,980","±44,538",6.30%,±0.3,1.70%,±0.1,2.40%,±0.2,0.90%,±0.1
    Divorced or separated,"2,448,397","±28,600",12.30%,±0.5,3.70%,±0.3,2.70%,±0.2,0.70%,±0.1
    Widowed,"1,134,927","±18,795",5.40%,±0.4,1.80%,±0.3,2.30%,±0.3,0.80%,±0.2
EDUCATIONAL ATTAINMENT,,,,,,,,,,
    Population 25 years and over,"13,267,581","±9,014",8.40%,±0.2,2.50%,±0.1,2.50%,±0.1,0.90%,±0.1
    Less than high school graduate,"1,867,802","±24,625",9.50%,±0.5,2.70%,±0.2,1.60%,±0.2,1.00%,±0.2
    High school graduate (includes equivalency),"4,033,074","±39,265",8.70%,±0.4,2.50%,±0.2,2.30%,±0.2,0.70%,±0.1
    Some college or associate's degree,"3,937,476","±37,708",8.80%,±0.3,2.70%,±0.2,2.50%,±0.2,0.60%,±0.1
    Bachelor's degree,"2,190,780","±26,016",7.30%,±0.5,2.50%,±0.2,3.20%,±0.3,1.10%,±0.2
    Graduate or professional degree,"1,238,449","±20,554",6.50%,±0.5,1.90%,±0.2,3.60%,±0.4,1.40%,±0.2
INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS),,,,,,,,,,
    Population 15 years and over,"15,770,265","±5,407",9.40%,±0.2,3.00%,±0.1,2.70%,±0.1,0.90%,±0.1
"    $1 to $9,999 or loss","2,841,390","±30,170",10.80%,±0.4,4.00%,±0.2,3.10%,±0.2,1.20%,±0.2
"    $10,000 to $14,999","1,634,190","±23,806",9.90%,±0.6,2.50%,±0.3,2.70%,±0.3,0.50%,±0.1
"    $15,000 to $24,999","2,516,920","±32,034",10.40%,±0.5,2.60%,±0.2,2.70%,±0.2,0.50%,±0.1
"    $25,000 to $34,999","1,794,880","±27,620",10.00%,±0.6,2.50%,±0.3,2.50%,±0.3,0.60%,±0.2
"    $35,000 to $49,999","1,763,228","±25,252",8.60%,±0.5,2.60%,±0.3,2.50%,±0.3,0.50%,±0.1
"    $50,000 to $64,999","1,064,381","±20,421",7.20%,±0.6,2.60%,±0.4,2.40%,±0.3,0.50%,±0.2
"    $65,000 to $74,999","387,752","±12,328",6.00%,±0.7,2.10%,±0.6,2.30%,±0.4,0.40%,±0.2
"    $75,000 or more","1,243,238","±20,899",5.30%,±0.3,1.50%,±0.2,2.90%,±0.3,0.70%,±0.2
Median income (dollars),"23,173",±195,"20,168",±440,"18,528","±1,138","21,568",±844,"16,340","±2,285"
POVERTY STATUS IN THE PAST 12 MONTHS,,,,,,,,,,
    Population 1 year and over for whom poverty status is determined,"18,460,050","±10,551",9.90%,±0.3,2.50%,±0.1,2.50%,±0.1,0.90%,±0.1
