Label (Grouping),Florida!!Total!!Estimate,Florida!!Total!!Margin of Error,Florida!!Moved; within same county!!Estimate,Florida!!Moved; within same county!!Margin of Error,"Florida!!Moved; from different county, same state!!Estimate","Florida!!Moved; from different county, same state!!Margin of Error",Florida!!Moved; from different  state!!Estimate,Florida!!Moved; from different  state!!Margin of Error,Florida!!Moved; from abroad!!Estimate,Florida!!Moved; from abroad!!Margin of Error
Population 1 year and over,"21,269,409","±9,193",8.10%,±0.2,3.10%,±0.1,2.80%,±0.1,1.00%,±0.1
    AGE,,,,,,,,,,
        1 to 4 years,"922,820","±10,242",11.90%,±0.8,3.10%,±0.4,3.20%,±0.4,1.10%,±0.3
        5 to 17 years,"3,100,807","±5,278",8.50%,±0.5,2.50%,±0.3,2.00%,±0.2,1.00%,±0.1
        18 to 24 years,"1,761,280","±7,725",11.60%,±0.6,6.80%,±0.4,4.60%,±0.3,1.60%,±0.2
        25 to 34 years,"2,768,060","±10,450",13.30%,±0.6,5.40%,±0.3,3.80%,±0.3,1.40%,±0.2
        35 to 44 years,"2,612,250","±9,864",9.10%,±0.5,3.20%,±0.2,3.00%,±0.3,1.20%,±0.2
        45 to 54 years,"2,708,234","±7,661",7.10%,±0.3,2.40%,±0.2,2.30%,±0.2,0.70%,±0.1
        55 to 64 years,"2,897,760","±3,821",5.70%,±0.3,2.10%,±0.2,2.60%,±0.2,0.70%,±0.1
        65 to 74 years,"2,463,083","±5,547",4.10%,±0.3,1.60%,±0.2,2.80%,±0.2,0.70%,±0.1
        75 years and over,"2,035,115","±5,172",4.40%,±0.2,1.30%,±0.2,1.80%,±0.2,0.50%,±0.1
        Median age (years),42.8,±0.2,32.5,±0.5,30.8,±0.5,37.5,±0.9,34.4,±1.0
    SEX,,,,,,,,,,
        Male,"10,390,602","±9,947",8.20%,±0.2,3.40%,±0.1,2.80%,±0.1,1.00%,±0.1
        Female,"10,878,807","±10,175",8.10%,±0.2,2.70%,±0.1,2.80%,±0.1,1.00%,±0.1
    RACE AND HISPANIC OR LATINO ORIGIN,,,,,,,,,,
        One race,"20,654,473","±25,407",8.00%,±0.2,3.00%,±0.1,2.80%,±0.1,0.90%,±0.1
            White,"15,870,306","±29,688",7.60%,±0.2,2.90%,±0.1,2.90%,±0.1,0.80%,±0.1
            Black or African American,"3,403,878","±26,210",9.90%,±0.6,3.70%,±0.3,2.00%,±0.2,0.80%,±0.2
