Label (Grouping),Florida!!Total!!Estimate,Florida!!Total!!Margin of Error,Florida!!Moved; within same county!!Estimate,Florida!!Moved; within same county!!Margin of Error,"Florida!!Moved; from different county, same state!!Estimate","Florida!!Moved; from different county, same state!!Margin of Error",Florida!!Moved; from different  state!!Estimate,Florida!!Moved; from different  state!!Margin of Error,Florida!!Moved; from abroad!!Estimate,Florida!!Moved; from abroad!!Margin of Error
Population 1 year and over,"20,401,575","±7,828",8.70%,±0.2,3.00%,±0.1,3.00%,±0.1,1.10%,±0.1
AGE,,,,,,,,,,
    1 to 4 years,"906,603","±8,126",13.50%,±0.9,3.10%,±0.4,3.50%,±0.4,1.10%,±0.3
    5 to 17 years,"3,027,673","±4,366",9.30%,±0.4,2.30%,±0.2,2.30%,±0.2,1.10%,±0.1
    18 to 24 years,"1,763,628","±7,377",13.50%,±0.5,7.10%,±0.4,4.00%,±0.3,1.40%,±0.2
    25 to 34 years,"2,660,916","±7,021",13.70%,±0.5,4.80%,±0.3,4.20%,±0.3,1.80%,±0.2
    35 to 44 years,"2,467,080","±8,043",10.10%,±0.5,3.40%,±0.3,2.70%,±0.2,1.40%,±0.2
    45 to 54 years,"2,755,495","±5,693",7.20%,±0.4,2.50%,±0.2,2.30%,±0.2,1.10%,±0.1
    55 to 64 years,"2,729,416","±4,500",5.40%,±0.3,2.00%,±0.2,2.90%,±0.2,0.80%,±0.1
    65 to 74 years,"2,278,240","±4,205",3.90%,±0.2,1.50%,±0.2,3.20%,±0.2,0.90%,±0.2
    75 years and over,"1,812,524","±3,484",4.50%,±0.3,1.30%,±0.2,2.20%,±0.2,0.60%,±0.1
Median age (years),42.5,±0.1,31.2,±0.5,30.8,±0.7,37.2,±1.3,35.7,±1.7
SEX,,,,,,,,,,
    Male,"9,961,462","±7,962",8.70%,±0.2,3.30%,±0.1,3.00%,±0.1,1.20%,±0.1
    Female,"10,440,113","±8,692",8.70%,±0.2,2.70%,±0.1,2.90%,±0.1,1.10%,±0.1
RACE AND HISPANIC OR LATINO ORIGIN,,,,,,,,,,
    One race,"19,882,492","±22,773",8.60%,±0.2,3.00%,±0.1,2.90%,±0.1,1.10%,±0.1
        White,"15,433,634","±29,040",8.10%,±0.2,2.90%,±0.1,3.20%,±0.1,1.10%,±0.1
        Black or African American,"3,268,334","±21,521",10.90%,±0.5,3.60%,±0.3,1.70%,±0.2,0.90%,±0.2
        American Indian and Alaska Native,"52,407","±5,511",9.60%,±3.0,3.50%,±1.4,3.30%,±1.4,2.00%,±1.9
        Asian,"553,417","±7,394",7.90%,±0.9,2.90%,±0.6,4.10%,±0.7,3.20%,±0.6
        Native Hawaiian and Other Pacific Islander,"12,329","±2,382",12.40%,±6.6,2.90%,±2.1,7.50%,±4.6,2.90%,±3.4
        Some other race,"562,371","±25,322",10.70%,±1.4,3.40%,±0.7,2.40%,±0.6,2.60%,±0.6
    Two or more races,"519,083","±21,906",11.40%,±1.1,3.50%,±0.6,3.60%,±0.7,0.90%,±0.3
Hispanic or Latino origin (of any race),"5,061,734","±4,729",9.10%,±0.5,2.60%,±0.2,1.80%,±0.2,2.40%,±0.3
"White alone, not Hispanic or Latino","11,182,438","±8,108",7.80%,±0.2,3.00%,±0.1,3.80%,±0.2,0.60%,±0.1
NATIVITY AND CITIZENSHIP STATUS,,,,,,,,,,
