Label (Grouping),Florida!!Total!!Estimate,Florida!!Total!!Margin of Error,Florida!!Moved; within same county!!Estimate,Florida!!Moved; within same county!!Margin of Error,"Florida!!Moved; from different county, same state!!Estimate","Florida!!Moved; from different county, same state!!Margin of Error",Florida!!Moved; from different  state!!Estimate,Florida!!Moved; from different  state!!Margin of Error,Florida!!Moved; from abroad!!Estimate,Florida!!Moved; from abroad!!Margin of Error
Population 1 year and over,"18,647,600","±7,733",10.30%,±0.2,2.90%,±0.1,2.60%,±0.1,0.80%,±0.1
AGE,,,,,,,,,,
    1 to 4 years,"872,260","±7,986",16.10%,±0.9,3.20%,±0.4,2.90%,±0.3,0.50%,±0.1
    5 to 17 years,"2,931,533","±5,076",11.40%,±0.5,2.30%,±0.2,2.10%,±0.2,0.80%,±0.1
    18 to 24 years,"1,766,628","±7,478",16.60%,±0.6,7.40%,±0.5,4.00%,±0.4,1.30%,±0.2
    25 to 34 years,"2,270,950","±7,740",17.50%,±0.6,5.30%,±0.3,3.60%,±0.3,1.30%,±0.2
    35 to 44 years,"2,437,991","±7,313",11.10%,±0.4,2.90%,±0.2,2.50%,±0.2,0.80%,±0.1
    45 to 54 years,"2,739,968","±5,913",8.10%,±0.3,2.10%,±0.2,2.10%,±0.2,0.60%,±0.1
    55 to 64 years,"2,355,071","±4,101",5.60%,±0.3,1.70%,±0.2,2.30%,±0.2,0.70%,±0.1
    65 to 74 years,"1,738,684","±4,055",3.30%,±0.3,1.00%,±0.2,2.40%,±0.2,0.70%,±0.1
    75 years and over,"1,534,515","±3,406",4.00%,±0.3,1.10%,±0.2,1.80%,±0.2,0.30%,±0.1
Median age (years),41.1,±0.1,29.1,±0.3,28.2,±0.6,35.1,±1.1,33.2,±1.8
SEX,,,,,,,,,,
    Male,"9,111,895","±8,027",10.40%,±0.2,3.30%,±0.1,2.70%,±0.1,0.80%,±0.1
    Female,"9,535,705","±7,284",10.20%,±0.3,2.60%,±0.1,2.40%,±0.1,0.80%,±0.1
RACE AND HISPANIC OR LATINO ORIGIN,,,,,,,,,,
    One race,"18,253,578","±17,756",10.20%,±0.2,2.90%,±0.1,2.60%,±0.1,0.80%,±0.1
        White,"14,283,534","±32,743",9.30%,±0.2,2.70%,±0.1,2.70%,±0.1,0.70%,±0.1
        Black or African American,"2,955,082","±15,286",14.20%,±0.6,3.70%,±0.3,1.90%,±0.3,0.90%,±0.1
        American Indian and Alaska Native,"66,499","±6,700",14.00%,±3.8,3.40%,±1.3,3.70%,±1.7,0.30%,±0.3
        Asian,"449,179","±7,475",8.60%,±1.0,3.30%,±0.8,2.70%,±0.6,2.90%,±0.7
        Native Hawaiian and Other Pacific Islander,"11,293","±2,193",5.20%,±4.4,0.60%,±0.9,8.10%,±6.0,1.70%,±2.3
        Some other race,"487,991","±25,053",13.40%,±2.1,3.60%,±0.8,1.70%,±0.5,1.50%,±0.7
    Two or more races,"394,022","±15,609",13.10%,±1.6,3.60%,±0.7,3.40%,±0.7,0.90%,±0.3
Hispanic or Latino origin (of any race),"4,196,560","±4,578",12.00%,±0.5,2.70%,±0.2,1.60%,±0.2,1.50%,±0.2
"White alone, not Hispanic or Latino","10,799,445","±11,208",8.60%,±0.2,2.80%,±0.1,3.20%,±0.2,0.40%,±0.1
CITIZENSHIP STATUS,,,,,,,,,,
    Native,"14,991,561","±36,913",10.20%,±0.2,3.10%,±0.1,2.90%,±0.1,0.30%,±0.1
    Foreign born,"3,656,039","±37,440",10.40%,±0.5,2.20%,±0.2,1.40%,±0.2,2.90%,±0.2
        Naturalized U.S. citizen,"1,772,302","±25,566",6.70%,±0.4,1.90%,±0.3,1.30%,±0.2,0.30%,±0.1
        Not a U.S. citizen,"1,883,737","±31,712",13.80%,±0.8,2.40%,±0.3,1.40%,±0.2,5.40%,±0.5
MARITAL STATUS,,,,,,,,,,
    Population 15 years and over,"15,555,825","±4,678",9.70%,±0.2,3.00%,±0.1,2.60%,±0.1,0.80%,±0.1
    Never married,"4,690,751","±30,634",14.20%,±0.4,5.20%,±0.2,3.00%,±0.2,1.00%,±0.1
"    Now married, except separated","7,325,899","±41,305",6.40%,±0.2,1.70%,±0.1,2.40%,±0.1,0.80%,±0.1
    Divorced or separated,"2,432,755","±27,510",12.70%,±0.5,3.60%,±0.2,2.80%,±0.2,0.60%,±0.1
    Widowed,"1,106,420","±13,845",5.80%,±0.4,1.70%,±0.3,2.20%,±0.2,0.70%,±0.2
EDUCATIONAL ATTAINMENT,,,,,,,,,,
    Population 25 years and over,"13,077,179","±7,576",8.70%,±0.2,2.50%,±0.1,2.50%,±0.1,0.80%,±0.1
    Less than high school graduate,"1,899,051","±24,619",10.30%,±0.6,2.90%,±0.3,1.60%,±0.2,1.00%,±0.2
    High school graduate (includes equivalency),"3,916,584","±29,922",9.20%,±0.3,2.30%,±0.2,2.20%,±0.2,0.70%,±0.1
    Some college or associate's degree,"3,890,293","±30,180",9.10%,±0.3,2.50%,±0.1,2.80%,±0.2,0.50%,±0.1
    Bachelor's degree,"2,171,876","±24,885",7.40%,±0.4,2.40%,±0.2,2.70%,±0.3,1.00%,±0.1
    Graduate or professional degree,"1,199,375","±16,136",6.00%,±0.4,2.20%,±0.2,3.10%,±0.3,0.90%,±0.2
INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),,,,,,,,,,
    Population 15 years and over,"15,555,825","±4,678",9.70%,±0.2,3.00%,±0.1,2.60%,±0.1,0.80%,±0.1
"    $1 to $9,999 or loss","2,835,600","±31,165",11.20%,±0.4,3.90%,±0.2,3.10%,±0.2,1.00%,±0.1
"    $10,000 to $14,999","1,648,675","±26,305",10.70%,±0.5,2.90%,±0.3,2.60%,±0.2,0.70%,±0.2
"    $15,000 to $24,999","2,461,417","±23,443",10.90%,±0.4,2.60%,±0.2,2.90%,±0.2,0.50%,±0.1
"    $25,000 to $34,999","1,780,883","±23,485",10.20%,±0.5,2.70%,±0.2,2.40%,±0.2,0.60%,±0.1
"    $35,000 to $49,999","1,760,541","±24,168",9.10%,±0.4,2.40%,±0.2,2.20%,±0.2,0.40%,±0.1
"    $50,000 to $64,999","1,027,062","±16,397",6.80%,±0.5,2.20%,±0.3,2.20%,±0.3,0.40%,±0.1
"    $65,000 to $74,999","377,853","±9,228",6.10%,±0.7,1.50%,±0.4,2.80%,±0.5,0.20%,±0.1
"    $75,000 or more","1,191,562","±16,535",4.80%,±0.4,1.70%,±0.2,2.80%,±0.3,0.50%,±0.1
Median income (dollars),"22,729",±182,"19,767",±493,"17,915","±1,025","20,464",±574,"15,037","±2,403"
POVERTY STATUS IN THE PAST 12 MONTHS,,,,,,,,,,
    Population 1 year and over for whom poverty status is determined,"18,242,602","±9,328",10.10%,±0.2,2.50%,±0.1,2.50%,±0.1,0.80%,±0.1
    Below 100 percent of the poverty level,"2,996,627","±40,616",17.30%,±0.8,4.00%,±0.4,3.10%,±0.3,1.70%,±0.2
    100 to 149 percent of the poverty level,"1,934,243","±39,022",13.00%,±0.6,2.50%,±0.3,2.20%,±0.3,1.00%,±0.2
    At or above 150 percent of the poverty level,"13,311,732","±55,216",8.00%,±0.2,2.20%,±0.1,2.40%,±0.1,0.60%,±0.1
HOUSING TENURE,,,,,,,,,,
    Population 1 year and over in housing units,"18,225,891","±7,733",10.10%,±0.2,2.50%,±0.1,2.50%,±0.1,0.80%,±0.1
    Householder lived in owner-occupied housing units,"12,421,033","±60,338",3.80%,±0.1,1.30%,±0.1,1.50%,±0.1,0.50%,±0.1
    Householder lived in renter-occupied housing units,"5,804,858","±59,928",23.40%,±0.6,5.20%,±0.3,4.50%,±0.3,1.40%,±0.2
PERCENT IMPUTED,,,,,,,,,,
    Residence 1 year ago,5.00%,(X),(X),(X),(X),(X),(X),(X),(X),(X)
