Label (Grouping),Florida!!Total!!Estimate,Florida!!Total!!Margin of Error,Florida!!Moved; within same county!!Estimate,Florida!!Moved; within same county!!Margin of Error,"Florida!!Moved; from different county, same state!!Estimate","Florida!!Moved; from different county, same state!!Margin of Error",Florida!!Moved; from different  state!!Estimate,Florida!!Moved; from different  state!!Margin of Error,Florida!!Moved; from abroad!!Estimate,Florida!!Moved; from abroad!!Margin of Error
Population 1 year and over,"21,590,684","±8,058",7.10%,±0.2,3.10%,±0.1,3.10%,±0.1,0.60%,±0.1
    AGE,,,,,,,,,,
        1 to 4 years,"901,510","±8,772",10.30%,±1.0,3.80%,±0.4,3.20%,±0.5,0.90%,±0.3
        5 to 17 years,"3,195,869","±4,131",7.60%,±0.5,2.60%,±0.2,2.60%,±0.3,0.60%,±0.1
        18 to 24 years,"1,731,183","±7,357",10.50%,±0.6,7.80%,±0.5,4.80%,±0.4,0.90%,±0.1
        25 to 34 years,"2,738,541","±10,025",11.40%,±0.5,5.10%,±0.3,4.60%,±0.3,1.00%,±0.2
        35 to 44 years,"2,728,862","±9,453",8.10%,±0.4,3.50%,±0.2,2.90%,±0.2,0.60%,±0.1
        45 to 54 years,"2,717,108","±8,698",6.40%,±0.3,2.50%,±0.2,2.60%,±0.2,0.50%,±0.1
        55 to 64 years,"2,978,615","±4,704",4.80%,±0.3,1.90%,±0.2,2.90%,±0.2,0.50%,±0.1
        65 to 74 years,"2,593,260","±5,381",3.50%,±0.2,1.50%,±0.2,3.00%,±0.2,0.60%,±0.2
        75 years and over,"2,005,736","±5,156",3.60%,±0.3,1.20%,±0.1,2.00%,±0.2,0.50%,±0.1
        Median age (years),43.1,±0.1,32.6,±0.6,30.5,±0.6,36.7,±1.3,35.5,±1.7
    SEX,,,,,,,,,,
        Male,"10,620,837","±9,875",7.10%,±0.2,3.30%,±0.1,3.20%,±0.1,0.60%,±0.1
        Female,"10,969,847","±10,499",7.10%,±0.2,3.00%,±0.1,3.10%,±0.1,0.60%,±0.1
    RACE AND HISPANIC OR LATINO ORIGIN,,,,,,,,,,
        One race,"17,471,167","±51,499",6.80%,±0.2,3.20%,±0.1,3.30%,±0.1,0.50%,±0.1
            White,"12,119,286","±39,178",6.30%,±0.2,3.10%,±0.1,3.80%,±0.1,0.40%,±0.1
            Black or African American,"3,255,467","±24,603",8.20%,±0.6,3.30%,±0.3,1.70%,±0.2,0.50%,±0.1
            American Indian and Alaska Native,"62,911","±7,616",7.00%,±4.4,3.20%,±1.8,6.30%,±4.0,0.70%,±0.6
            Asian,"615,479","±9,512",5.70%,±0.9,3.30%,±0.5,3.20%,±0.5,1.40%,±0.4
            Native Hawaiian and Other Pacific Islander,"12,423","±3,459",9.50%,±6.5,4.80%,±3.9,2.30%,±2.0,0.40%,±0.6
            Some other race,"1,405,601","±45,627",8.10%,±0.7,3.80%,±0.6,2.50%,±0.5,1.30%,±0.3
        Two or more races,"4,119,517","±50,639",8.40%,±0.4,2.80%,±0.2,2.30%,±0.2,1.20%,±0.2
        Hispanic or Latino origin (of any race),"5,770,068","±4,916",8.30%,±0.4,3.10%,±0.2,1.80%,±0.2,1.10%,±0.1
"        White alone, not Hispanic or Latino","11,059,569","±19,379",6.10%,±0.2,3.10%,±0.1,4.10%,±0.2,0.30%,±0.1
    NATIVITY AND CITIZENSHIP STATUS,,,,,,,,,,
        Native,"16,985,791","±45,034",6.90%,±0.2,3.40%,±0.1,3.50%,±0.1,0.30%,±0.1
        Foreign born,"4,604,893","±44,279",7.70%,±0.4,2.20%,±0.2,1.90%,±0.2,1.90%,±0.2
            Naturalized U.S. citizen,"2,772,900","±33,280",5.70%,±0.4,1.90%,±0.2,1.80%,±0.2,0.40%,±0.1
            Not a U.S. citizen,"1,831,993","±37,627",10.70%,±0.8,2.60%,±0.3,2.10%,±0.3,4.20%,±0.4
MARITAL STATUS,,,,,,,,,,
    Population 15 years and over,"18,251,571","±4,332",6.90%,±0.1,3.10%,±0.1,3.20%,±0.1,0.60%,±0.1
        Never married,"5,778,046","±38,262",9.30%,±0.3,4.90%,±0.2,3.50%,±0.2,0.70%,±0.1
"        Now married, except separated","8,652,742","±62,358",5.20%,±0.2,2.20%,±0.1,3.20%,±0.2,0.70%,±0.1
        Divorced or separated,"2,644,349","±37,498",7.80%,±0.4,3.20%,±0.2,2.80%,±0.2,0.50%,±0.1
        Widowed,"1,176,434","±18,815",4.80%,±0.4,1.80%,±0.2,2.20%,±0.3,0.40%,±0.1
EDUCATIONAL ATTAINMENT,,,,,,,,,,
    Population 25 years and over,"15,762,122","±8,177",6.40%,±0.1,2.70%,±0.1,3.00%,±0.1,0.60%,±0.1
        Less than high school graduate,"1,608,543","±22,977",7.00%,±0.4,2.90%,±0.3,1.60%,±0.2,0.80%,±0.1
        High school graduate (includes equivalency),"4,363,466","±41,941",6.20%,±0.3,2.60%,±0.2,2.30%,±0.2,0.60%,±0.1
        Some college or associate's degree,"4,563,267","±42,554",6.40%,±0.2,2.70%,±0.2,3.00%,±0.2,0.40%,±0.1
        Bachelor's degree,"3,248,221","±34,306",6.80%,±0.3,2.70%,±0.2,3.90%,±0.3,0.70%,±0.1
        Graduate or professional degree,"1,978,625","±26,376",6.20%,±0.4,2.60%,±0.2,4.50%,±0.3,0.80%,±0.2
INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS),,,,,,,,,,
    Population 15 years and over,"18,251,571","±4,332",6.90%,±0.1,3.10%,±0.1,3.20%,±0.1,0.60%,±0.1
"        $1 to $9,999 or loss","2,330,955","±30,842",6.80%,±0.4,4.20%,±0.3,3.30%,±0.2,0.90%,±0.1
"        $10,000 to $14,999","1,503,944","±26,741",6.60%,±0.5,2.60%,±0.3,2.90%,±0.3,0.60%,±0.1
"        $15,000 to $24,999","2,415,957","±28,768",7.00%,±0.3,2.80%,±0.2,2.90%,±0.2,0.50%,±0.1
"        $25,000 to $34,999","2,181,349","±28,246",7.60%,±0.5,2.90%,±0.2,2.80%,±0.2,0.40%,±0.1
"        $35,000 to $49,999","2,332,659","±29,252",7.10%,±0.4,2.70%,±0.2,2.70%,±0.2,0.30%,±0.1
"        $50,000 to $64,999","1,659,938","±26,970",7.40%,±0.5,2.90%,±0.3,2.90%,±0.3,0.30%,±0.1
"        $65,000 to $74,999","673,017","±16,378",6.70%,±0.7,2.70%,±0.4,3.90%,±0.6,0.20%,±0.1
"        $75,000 or more","2,670,457","±34,124",5.90%,±0.3,2.50%,±0.2,4.20%,±0.3,0.40%,±0.1
        Median income (dollars),"31,879",±143,"31,334",±544,"29,811","±1,259","34,821","±1,663","21,365","±1,808"
POVERTY STATUS IN THE PAST 12 MONTHS,,,,,,,,,,
    Population 1 year and over for whom poverty status is determined,"21,183,037","±11,179",6.90%,±0.2,2.80%,±0.1,3.00%,±0.1,0.60%,±0.1
        Below 100 percent of the poverty level,"2,766,864","±48,861",8.90%,±0.6,4.20%,±0.4,3.20%,±0.4,1.40%,±0.2
        100 to 149 percent of the poverty level,"1,870,905","±53,221",8.20%,±0.8,2.90%,±0.4,2.40%,±0.4,1.00%,±0.3
        At or above 150 percent of the poverty level,"16,545,268","±67,228",6.50%,±0.2,2.60%,±0.1,3.10%,±0.1,0.50%,±0.1
HOUSING TENURE,,,,,,,,,,
    Population 1 year and over in housing units,"21,178,225","±8,058",6.90%,±0.2,2.80%,±0.1,3.00%,±0.1,0.60%,±0.1
        Householder lived in owner-occupied housing units,"14,483,276","±75,641",4.50%,±0.2,2.00%,±0.1,2.40%,±0.1,0.40%,±0.1
        Householder lived in renter-occupied housing units,"6,694,949","±74,894",12.20%,±0.4,4.40%,±0.2,4.40%,±0.3,1.10%,±0.1
PERCENT ALLOCATED,,,,,,,,,,
    Residence 1 year ago,11.90%,(X),(X),(X),(X),(X),(X),(X),(X),(X)
