Label (Grouping),Florida!!Total!!Estimate,Florida!!Total!!Margin of Error,Florida!!Moved; within same county!!Estimate,Florida!!Moved; within same county!!Margin of Error,"Florida!!Moved; from different county, same state!!Estimate","Florida!!Moved; from different county, same state!!Margin of Error",Florida!!Moved; from different  state!!Estimate,Florida!!Moved; from different  state!!Margin of Error,Florida!!Moved; from abroad!!Estimate,Florida!!Moved; from abroad!!Margin of Error
Population 1 year and over,"20,772,371","±8,045",8.40%,±0.2,3.20%,±0.1,2.70%,±0.1,1.20%,±0.1
AGE,,,,,,,,,,
    1 to 4 years,"917,293","±9,292",12.00%,±0.8,3.60%,±0.4,2.90%,±0.5,1.40%,±0.3
    5 to 17 years,"3,071,458","±4,585",9.20%,±0.5,2.40%,±0.2,1.90%,±0.2,1.40%,±0.2
    18 to 24 years,"1,763,443","±7,379",12.40%,±0.6,6.90%,±0.4,4.30%,±0.3,1.50%,±0.2
    25 to 34 years,"2,707,837","±8,752",13.40%,±0.4,5.40%,±0.3,3.80%,±0.3,1.70%,±0.2
    35 to 44 years,"2,535,767","±7,857",9.10%,±0.4,3.50%,±0.3,2.40%,±0.2,1.70%,±0.2
    45 to 54 years,"2,761,337","±6,965",7.40%,±0.3,2.50%,±0.3,2.20%,±0.2,0.80%,±0.1
    55 to 64 years,"2,800,004","±5,304",5.70%,±0.3,2.10%,±0.2,2.70%,±0.2,0.80%,±0.1
    65 to 74 years,"2,344,869","±4,757",3.90%,±0.3,1.60%,±0.1,2.80%,±0.2,0.90%,±0.1
    75 years and over,"1,870,363","±4,275",4.60%,±0.3,1.30%,±0.2,2.10%,±0.2,0.50%,±0.1
Median age (years),42.5,±0.1,31.4,±0.5,30.7,±0.8,37.9,±1.6,34.1,±1.1
SEX,,,,,,,,,,
    Male,"10,149,244","±8,512",8.40%,±0.2,3.40%,±0.1,2.80%,±0.1,1.20%,±0.1
    Female,"10,623,127","±8,291",8.40%,±0.2,2.90%,±0.1,2.70%,±0.1,1.20%,±0.1
RACE AND HISPANIC OR LATINO ORIGIN,,,,,,,,,,
    One race,"20,232,492","±23,304",8.30%,±0.2,3.10%,±0.1,2.70%,±0.1,1.20%,±0.1
        White,"15,628,447","±34,243",7.90%,±0.2,3.00%,±0.1,2.90%,±0.1,1.10%,±0.1
        Black or African American,"3,349,216","±19,614",10.80%,±0.7,3.50%,±0.3,1.80%,±0.2,0.90%,±0.2
        American Indian and Alaska Native,"62,898","±6,889",10.10%,±3.4,5.90%,±2.1,1.60%,±1.1,0.90%,±0.7
        Asian,"583,121","±7,807",6.40%,±0.9,2.90%,±0.6,3.60%,±0.7,3.30%,±0.6
        Native Hawaiian and Other Pacific Islander,"13,937","±3,557",18.40%,±11.0,4.00%,±3.1,1.00%,±1.0,0.80%,±1.4
        Some other race,"594,873","±29,525",8.20%,±1.2,3.10%,±0.6,2.20%,±0.6,3.10%,±0.8
    Two or more races,"539,879","±21,443",11.60%,±1.2,4.10%,±0.8,3.30%,±0.6,1.10%,±0.4
Hispanic or Latino origin (of any race),"5,302,961","±4,818",8.50%,±0.4,2.60%,±0.2,1.50%,±0.1,2.40%,±0.2
"White alone, not Hispanic or Latino","11,202,722","±9,823",7.70%,±0.2,3.30%,±0.2,3.50%,±0.1,0.60%,±0.1
NATIVITY AND CITIZENSHIP STATUS,,,,,,,,,,
    Native,"16,394,487","±36,951",8.60%,±0.2,3.50%,±0.1,3.00%,±0.1,0.40%,±0.1
    Foreign born,"4,377,884","±36,690",7.80%,±0.4,2.00%,±0.2,1.60%,±0.1,4.10%,±0.3
        Naturalized U.S. citizen,"2,418,593","±27,875",6.20%,±0.4,1.70%,±0.2,1.50%,±0.2,0.50%,±0.1
        Not a U.S. citizen,"1,959,291","±34,504",9.70%,±0.7,2.50%,±0.3,1.60%,±0.2,8.40%,±0.6
MARITAL STATUS,,,,,,,,,,
    Population 15 years and over,"17,514,198","±4,283",8.10%,±0.2,3.20%,±0.1,2.80%,±0.1,1.20%,±0.1
        Never married,"5,568,197","±38,265",10.80%,±0.3,5.00%,±0.2,3.00%,±0.2,1.30%,±0.1
"        Now married, except separated","8,080,557","±53,698",6.10%,±0.2,2.20%,±0.1,2.80%,±0.1,1.30%,±0.1
        Divorced or separated,"2,665,182","±33,353",9.30%,±0.4,3.30%,±0.2,2.80%,±0.2,0.80%,±0.1
