Label (Grouping),Florida!!Total!!Estimate,Florida!!Total!!Margin of Error,Florida!!Moved; within same county!!Estimate,Florida!!Moved; within same county!!Margin of Error,"Florida!!Moved; from different county, same state!!Estimate","Florida!!Moved; from different county, same state!!Margin of Error",Florida!!Moved; from different  state!!Estimate,Florida!!Moved; from different  state!!Margin of Error,Florida!!Moved; from abroad!!Estimate,Florida!!Moved; from abroad!!Margin of Error
Population 1 year and over,"19,114,620","±6,877",9.50%,±0.2,3.00%,±0.1,2.80%,±0.1,0.90%,±0.1
AGE,,,,,,,,,,
    1 to 4 years,"867,397","±7,144",15.20%,±0.9,3.30%,±0.5,3.30%,±0.4,1.00%,±0.2
    5 to 17 years,"2,930,628","±3,674",10.70%,±0.5,2.40%,±0.3,2.50%,±0.3,0.90%,±0.1
    18 to 24 years,"1,812,848","±6,118",14.90%,±0.6,7.00%,±0.4,4.40%,±0.3,1.10%,±0.2
    25 to 34 years,"2,381,017","±5,784",15.30%,±0.5,5.20%,±0.3,3.70%,±0.3,1.20%,±0.1
    35 to 44 years,"2,408,804","±6,574",10.40%,±0.5,2.90%,±0.3,2.90%,±0.3,1.00%,±0.1
    45 to 54 years,"2,739,867","±5,712",7.60%,±0.4,2.30%,±0.2,2.20%,±0.1,0.70%,±0.1
    55 to 64 years,"2,465,232","±3,614",5.60%,±0.3,1.90%,±0.2,2.40%,±0.2,0.60%,±0.1
    65 to 74 years,"1,899,082","±4,334",3.70%,±0.3,1.10%,±0.1,2.60%,±0.2,0.90%,±0.1
    75 years and over,"1,609,745","±4,018",4.00%,±0.3,1.10%,±0.2,1.80%,±0.2,0.50%,±0.1
Median age (years),41.6,±0.2,29.6,±0.4,29,±0.6,35.1,±1.2,35.7,±1.9
SEX,,,,,,,,,,
    Male,"9,341,840","±7,973",9.40%,±0.2,3.20%,±0.1,2.90%,±0.1,0.90%,±0.1
    Female,"9,772,780","±8,416",9.50%,±0.2,2.80%,±0.1,2.70%,±0.1,0.90%,±0.1
RACE AND HISPANIC OR LATINO ORIGIN,,,,,,,,,,
    One race,"18,670,627","±16,366",9.40%,±0.2,3.00%,±0.1,2.80%,±0.1,0.90%,±0.1
        White,"14,609,266","±23,427",8.50%,±0.2,2.80%,±0.1,3.00%,±0.1,0.80%,±0.1
        Black or African American,"3,063,392","±16,517",13.20%,±0.6,3.60%,±0.3,1.90%,±0.2,0.80%,±0.1
        American Indian and Alaska Native,"51,105","±4,478",13.80%,±3.3,4.50%,±2.0,5.80%,±2.3,0.80%,±0.7
        Asian,"482,938","±7,961",7.10%,±1.0,2.50%,±0.6,3.00%,±0.7,2.90%,±0.8
        Native Hawaiian and Other Pacific Islander,"11,225","±3,137",25.10%,±13.9,4.00%,±3.1,3.80%,±3.7,1.70%,±3.1
        Some other race,"452,701","±23,310",13.70%,±1.8,3.60%,±0.8,2.80%,±0.8,1.20%,±0.5
    Two or more races,"443,993","±15,691",13.70%,±1.6,4.00%,±0.6,3.30%,±0.6,1.00%,±0.4
Hispanic or Latino origin (of any race),"4,425,221","±4,977",10.40%,±0.5,2.50%,±0.2,1.80%,±0.2,1.60%,±0.2
"White alone, not Hispanic or Latino","10,880,399","±8,520",8.00%,±0.2,3.00%,±0.1,3.50%,±0.1,0.50%,±0.1
NATIVITY AND CITIZENSHIP STATUS,,,,,,,,,,
    Native,"15,368,562","±33,748",9.60%,±0.2,3.20%,±0.1,3.10%,±0.1,0.40%,±0.1
    Foreign born,"3,746,058","±32,228",9.00%,±0.4,1.90%,±0.2,1.60%,±0.2,2.80%,±0.2
