Label (Grouping),Florida!!Total!!Estimate,Florida!!Total!!Margin of Error,Florida!!Moved; within same county!!Estimate,Florida!!Moved; within same county!!Margin of Error,"Florida!!Moved; from different county, same state!!Estimate","Florida!!Moved; from different county, same state!!Margin of Error",Florida!!Moved; from different  state!!Estimate,Florida!!Moved; from different  state!!Margin of Error,Florida!!Moved; from abroad!!Estimate,Florida!!Moved; from abroad!!Margin of Error
Population 1 year and over,"19,345,059","±7,799",9.50%,±0.2,3.10%,±0.1,2.70%,±0.1,0.90%,±0.1
AGE,,,,,,,,,,
    1 to 4 years,"866,248","±8,302",15.00%,±0.9,3.40%,±0.5,2.80%,±0.4,0.90%,±0.2
    5 to 17 years,"2,954,681","±3,358",10.50%,±0.5,2.60%,±0.3,2.30%,±0.3,0.80%,±0.1
    18 to 24 years,"1,797,134","±6,806",14.80%,±0.6,7.10%,±0.4,4.50%,±0.3,1.20%,±0.2
    25 to 34 years,"2,435,386","±7,907",15.70%,±0.5,5.30%,±0.3,3.70%,±0.2,1.40%,±0.1
    35 to 44 years,"2,409,505","±7,254",10.60%,±0.5,3.20%,±0.3,2.50%,±0.3,1.10%,±0.2
    45 to 54 years,"2,726,761","±6,411",7.60%,±0.4,2.40%,±0.2,2.00%,±0.2,0.60%,±0.1
    55 to 64 years,"2,511,061","±4,047",5.80%,±0.3,1.80%,±0.1,2.60%,±0.2,0.70%,±0.1
    65 to 74 years,"1,984,921","±4,095",4.10%,±0.3,1.40%,±0.2,2.70%,±0.2,0.90%,±0.1
    75 years and over,"1,659,362","±4,454",4.10%,±0.3,1.30%,±0.2,1.90%,±0.2,0.50%,±0.1
Median age (years),41.9,±0.1,30.1,±0.4,29.3,±0.6,35.2,±1.2,35.2,±1.3
SEX,,,,,,,,,,
    Male,"9,457,149","±8,968",9.60%,±0.2,3.30%,±0.1,2.80%,±0.1,0.90%,±0.1
    Female,"9,887,910","±8,610",9.50%,±0.2,2.80%,±0.1,2.70%,±0.1,0.90%,±0.1
RACE AND HISPANIC OR LATINO ORIGIN,,,,,,,,,,
    One race,"18,900,875","±18,577",9.40%,±0.2,3.10%,±0.1,2.70%,±0.1,0.90%,±0.1
        White,"14,764,118","±24,531",8.70%,±0.2,3.00%,±0.1,2.90%,±0.1,0.80%,±0.1
        Black or African American,"3,096,056","±17,890",13.10%,±0.7,3.40%,±0.3,1.80%,±0.2,0.70%,±0.1
        American Indian and Alaska Native,"49,744","±4,546",9.30%,±2.6,3.10%,±1.6,2.90%,±1.5,1.70%,±1.1
        Asian,"503,611","±6,870",8.40%,±1.1,3.00%,±0.5,2.80%,±0.6,3.30%,±0.5
        Native Hawaiian and Other Pacific Islander,"7,885","±2,073",6.90%,±8.0,3.70%,±2.9,3.80%,±3.7,4.20%,±5.3
